compounds,name,maxFlux
cpd00009,Phosphate,100
cpd00011,CO2,100
cpd00013,NH3,100
cpd00030,Mn2+,100
cpd00034,Zn2+,100
cpd00048,Sulfate,100
cpd00058,Cu2+,100
cpd00063,Ca2+,100
cpd00067,H+,100
cpd00075,Nitrite,100
cpd00099,Cl-,100
cpd00209,Nitrate,100
cpd00244,Ni2+,100
cpd00254,Mg,100
cpd00528,N2,100
cpd00531,Hg2+,100
cpd00552,F-,100
cpd00971,Na+,100
cpd01012,Cd2+,100
cpd04097,Pb,100
cpd09693,Ba2+,100
cpd10515,Fe2+,100
cpd10516,fe3,100
cpd17321,Rb+,100
cpd20624,Chromium (III),100
cpd24344,Al+++,100
cpd24347,Be++,100
cpd24363,Cs+,100
cpd24365,Tl+,100
cpd26474,La3+,100
cpd27384,Li+,100
cpd00001,H2O,100
cpd00149,Co2+,100
cpd00205,K+,100
cpd00528,N2,100
cpd00081,Sulfite_(HSO3)-,100
cpd00268,Thiosulfate_(S2O3)2-,100
cpd00239,Hydrogen_sulfide(H2S),100
