id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1.15.16	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.383	4.62e-22	92.0	96	STY4_bin_1_NODE_11_length_92275_cov_574.104	66378	65848
658118074	3.a.1.15.16	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.615	1.63e-09	57.8	77	STY2_bin_2_NODE_250_length_20551_cov_31.6072	1504	2271
a1jlh0	3.a.1.10.5	iron		rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	40.351	5.71e-52	183	97	STY2_bin_2_NODE_277_length_19354_cov_43.0234	6546	5704
a2rka5	3.a.1.2.17	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	36.102	6.83e-38	141	97	STY1_bin_1_NODE_75_length_40563_cov_18.4868	3626	2709
a2rka6	3.a.1.2.17	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	31.169	4.51e-19	87.4	83	STY4_bin_1_NODE_43_length_53747_cov_521.283	13959	13048
a2rka7	3.a.1.2.17	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	43.077	9.89e-131	417	98	STY1_bin_1_NODE_75_length_40563_cov_18.4868	6346	4802
a3n294	3.a.1.20.3	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	25.651	6.32e-11	62.0	75	STY4_bin_1_NODE_177_length_30030_cov_539.334	26285	25512
a6l2m4	3.a.10.1.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	52.603	4.11e-135	439	75	STY1_bin_1_NODE_33_length_65705_cov_20.7475	27698	26163
a6l2m4	3.a.10.1.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	52.603	4.11e-135	439	75	STY1_bin_1_NODE_33_length_65705_cov_20.7475	27698	26163
a6lw11	3.a.1.2.26	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	38.878	2.41e-97	322	95	STY1_bin_1_NODE_26_length_72910_cov_20.1249	36460	37917
a6n844	2.a.39.3.10	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	27.233	7.24e-35	139	81	STY4_bin_1_NODE_22_length_67542_cov_591.459	24120	22804
a6x7e7	2.a.1.81.5	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|a6x7e7|2.a.1.81.5	42.779	6.91e-63	217	91	STY3_bin_1_NODE_90_length_33337_cov_128.971	23961	22870
a7vnh8	3.a.10.1.13	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	48.656	1.08e-143	463	98	STY1_bin_1_NODE_33_length_65705_cov_20.7475	28172	26163
a7vnh8	3.a.10.1.13	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	48.656	1.08e-143	463	98	STY1_bin_1_NODE_33_length_65705_cov_20.7475	28172	26163
a8agw0	2.a.49.5.4	chloride		rxn08233,rxn30474	gnl|tc-db|a8agw0|2.a.49.5.4	31.606	6.27e-10	59.7	90	STY1_bin_1_NODE_68_length_43412_cov_18.0347	24038	25168
a9ci32	3.a.1.12.13	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	35.216	4.50e-43	157	86	STY4_bin_1_NODE_177_length_30030_cov_539.334	23206	22337
a9ci32	3.a.1.12.13	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	35.216	4.50e-43	157	86	STY4_bin_1_NODE_177_length_30030_cov_539.334	23206	22337
